Minnesota,50-60,789687
Minnesota,60-70,577601
Minnesota,70-80,313188
Mississippi,0-10,403649
Mississippi,10-20,410886
Mississippi,20-30,415167
Mississippi,30-40,373633
Mississippi,40-50,369714
Mississippi,50-60,403913
Mississippi,60-70,317645
Mississippi,70-80,182789
Missouri,0-10,764073
Missouri,10-20,785299
Missouri,20-30,827966
Missouri,30-40,758454
Missouri,40-50,746416
Missouri,50-60,865573
Missouri,60-70,665887
Missouri,70-80,387641
Montana,0-10,125154
Montana,10-20,125948
Montana,20-30,136114
Montana,30-40,123258
Montana,40-50,115375
Montana,50-60,149908
Montana,60-70,130825
Montana,70-80,70778
Nebraska,0-10,263142
Nebraska,10-20,256619
Nebraska,20-30,258826
Nebraska,30-40,241642
Nebraska,40-50,220256
Nebraska,50-60,253582
Nebraska,60-70,194245
Nebraska,70-80,107735
Nevada,0-10,366044
Nevada,10-20,362571
Nevada,20-30,388209
Nevada,30-40,385546
Nevada,40-50,383702
Nevada,50-60,375487
Nevada,60-70,309245
Nevada,70-80,174931
New Hampshire,0-10,136597
New Hampshire,10-20,168775
New Hampshire,20-30,167491
New Hampshire,30-40,148378
New Hampshire,40-50,183279
New Hampshire,50-60,219895
New Hampshire,60-70,163667
New Hampshire,70-80,83987
New Jersey,0-10,1083368
New Jersey,10-20,1150332
New Jersey,20-30,1139696
New Jersey,30-40,1143727
New Jersey,40-50,1254219
New Jersey,50-60,1326378
New Jersey,60-70,939420
New Jersey,70-80,525682
New Mexico,0-10,279490
New Mexico,10-20,277692
New Mexico,20-30,287227
New Mexico,30-40,256768
New Mexico,40-50,241602
New Mexico,50-60,282482
New Mexico,60-70,237635
New Mexico,70-80,134009
New York,0-10,2324754
New York,10-20,2435368
New York,20-30,2902308
New York,30-40,2607290
New York,40-50,2614334
New York,50-60,2790885
New York,60-70,2079950
New York,70-80,1162552
North Carolina,0-10,1252371
North Carolina,10-20,1298379
North Carolina,20-30,1308343
North Carolina,30-40,1237564
North Carolina,40-50,1336796
North Carolina,50-60,1356619
North Carolina,60-70,1089669
North Carolina,70-80,613891
North Dakota,0-10,99409
North Dakota,10-20,91899
North Dakota,20-30,122789
North Dakota,30-40,92703
North Dakota,40-50,79239
North Dakota,50-60,98934
North Dakota,60-70,74042
North Dakota,70-80,40661
Ohio,0-10,1418710
Ohio,10-20,1528514
Ohio,20-30,1535733
Ohio,30-40,1397793
Ohio,40-50,1481577
Ohio,50-60,1694855
Ohio,60-70,1313052
Ohio,70-80,733012
Oklahoma,0-10,535123
Oklahoma,10-20,518394
Oklahoma,20-30,544561
Oklahoma,30-40,499410
Oklahoma,40-50,460520
Oklahoma,50-60,516499
Oklahoma,60-70,405203
Oklahoma,70-80,239001
Oregon,0-10,470347
Oregon,10-20,484679
Oregon,20-30,533382
Oregon,30-40,536193
Oregon,40-50,502096
Oregon,50-60,540742
Oregon,60-70,486257
Oregon,70-80,257216
Pennsylvania,0-10,1454767
Pennsylvania,10-20,1603710
Pennsylvania,20-30,1715503
Pennsylvania,30-40,1514496
Pennsylvania,40-50,1641102
Pennsylvania,50-60,1896991
Pennsylvania,60-70,1483475
Pennsylvania,70-80,852214
Rhode Island,0-10,112698
Rhode Island,10-20,135703
Rhode Island,20-30,152882
