60-70,130825
70-80,70778
0-10,263142
10-20,256619
20-30,258826
30-40,241642
40-50,220256
50-60,253582
60-70,194245
70-80,107735
0-10,366044
10-20,362571
20-30,388209
30-40,385546
40-50,383702
50-60,375487
60-70,309245
70-80,174931
0-10,136597
10-20,168775
20-30,167491
30-40,148378
40-50,183279
50-60,219895
60-70,163667
70-80,83987
0-10,1083368
10-20,1150332
20-30,1139696
30-40,1143727
40-50,1254219
50-60,1326378
60-70,939420
70-80,525682
0-10,279490
10-20,277692
20-30,287227
30-40,256768
40-50,241602
50-60,282482
60-70,237635
70-80,134009
0-10,2324754
10-20,2435368
20-30,2902308
30-40,2607290
40-50,2614334
50-60,2790885
60-70,2079950
70-80,1162552
0-10,1252371
10-20,1298379
20-30,1308343
30-40,1237564
40-50,1336796
50-60,1356619
60-70,1089669
70-80,613891
0-10,99409
10-20,91899
20-30,122789
30-40,92703
40-50,79239
50-60,98934
60-70,74042
70-80,40661
0-10,1418710
10-20,1528514
20-30,1535733
30-40,1397793
40-50,1481577
50-60,1694855
60-70,1313052
70-80,733012
0-10,535123
10-20,518394
20-30,544561
30-40,499410
40-50,460520
50-60,516499
60-70,405203
70-80,239001
0-10,470347
10-20,484679
20-30,533382
30-40,536193
40-50,502096
50-60,540742
60-70,486257
70-80,257216
0-10,1454767
10-20,1603710
20-30,1715503
30-40,1514496
40-50,1641102
50-60,1896991
60-70,1483475
70-80,852214
0-10,112698
10-20,135703
20-30,152882
30-40,124557
40-50,137343
50-60,156855
60-70,117581
70-80,63621
0-10,598730
10-20,610535
20-30,650805
30-40,585132
40-50,614699
50-60,664904
60-70,574320
70-80,325108
0-10,120758
10-20,113499
20-30,115615
30-40,104037
40-50,94765
50-60,117687
60-70,93500
70-80,51084
0-10,818117
10-20,841063
20-30,887337
30-40,825728
40-50,863061
50-60,911383
60-70,735577
70-80,417259
0-10,3967059
10-20,3886800
20-30,3904339
30-40,3733270
40-50,3516612
50-60,3382155
60-70,2418793
70-80,1287826
0-10,514327
10-20,475491
20-30,459229
30-40,435174
40-50,326053
50-60,304708
60-70,227061
70-80,124151
0-10,63299
10-20,79458
20-30,81899
30-40,70131
40-50,79210
50-60,100332
60-70,82300
70-80,42537
0-10,1034653
10-20,1054911
20-30,1144623
30-40,1080456
40-50,1103646
50-60,1170352
60-70,872955
70-80,475867
0-10,896230
10-20,876755
20-30,981198
30-40,950786
40-50,907344
50-60,973998
60-70,779324
70-80,400773
0-10,207356
10-20,218512
20-30,232261
30-40,221922
40-50,237875
50-60,271133
60-70,242721
70-80,138332
0-10,704171
10-20,753686
20-30,761702
30-40,713576
40-50,729712
50-60,854536
60-70,642887
70-80,352396
0-10,78417
10-20,74628
20-30,82271
30-40,76447
40-50,66326
50-60,83489
60-70,66530
70-80,33168
